,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
56,Klay Thompson,33,GSW,SF,77,63,2284,.432,20.3,.389,.051,.108,.107,.124,.611,.503,.724,.484,.463,.464,.387,.721,.937,.002,2,.132,.396,2,0,,thompkl01
57,Kyle Kuzma,28,WAS,PF,70,70,2281,.463,13.7,.657,.206,.272,.117,.062,.343,.530,.789,.451,.357,.341,.336,.538,.788,.046,57,.222,.410,1,0,,kuzmaky01
58,Jrue Holiday,33,BOS,PG,69,69,2263,.480,15.7,.533,.163,.219,.099,.052,.467,.526,.688,.490,.397,.417,.429,.461,.754,.010,5,.261,.619,1,0,DPOY-6,holidjr01
59,Deni Avdija,23,WAS,SF,75,75,2257,.506,10.9,.707,.336,.298,.044,.030,.293,.560,.737,.427,.171,.458,.374,.569,.852,.057,42,.272,.484,3,0,,avdijde01
60,Devin Vassell,23,SAS,SG,68,62,2248,.472,16.4,.578,.163,.126,.159,.130,.422,.544,.715,.511,.548,.358,.372,.602,.837,.050,49,.188,.512,2,0,,vassede01
61,Luguentz Dort,24,OKC,SF,79,79,2246,.438,17.4,.397,.212,.096,.050,.040,.603,.506,.612,.397,.424,.308,.394,.636,.994,.041,23,.278,.409,0,0,,dortlu01
62,Max Strus,27,CLE,SF,70,70,2239,.418,18.3,.342,.238,.078,.016,.010,.658,.546,.607,.351,.667,.429,.351,.684,.964,.036,22,.230,.336,3,1,,strusma01
63,Dillon Brooks,28,HOU,SF,72,72,2227,.428,15.7,.518,.173,.228,.083,.034,.482,.492,.707,.360,.422,.462,.359,.587,.962,.021,14,.154,.421,2,0,,brookdi01
64,Tyrese Haliburton,23,IND,PG,69,68,2224,.477,17.6,.490,.155,.171,.087,.077,.510,.595,.660,.592,.560,.506,.364,.315,.472,.026,27,.080,.326,4,0,ASNBA3,halibty01
65,Jalen Williams,22,OKC,PF,71,71,2223,.540,11.9,.757,.261,.241,.171,.085,.243,.576,.730,.473,.529,.488,.427,.404,.748,.075,63,.104,.520,0,0,CPOY-12,willija06
66,P.J. Washington,25,2TM,PF,73,45,2221,.436,15.5,.491,.200,.239,.039,.012,.509,.558,.722,.454,.438,.300,.320,.797,.955,.060,45,.266,.245,2,0,,washipj01
66,P.J. Washington,25,CHO,PF,44,17,1286,.446,15.0,.521,.224,.238,.043,.016,.479,.558,.719,.438,.455,.375,.324,.784,.937,.059,28,.176,.256,2,0,,washipj01
66,P.J. Washington,25,DAL,PF,29,28,935,.421,16.1,.440,.159,.242,.033,.007,.560,.556,.729,.479,.400,.000,.314,.824,.981,.063,17,.396,.239,0,0,,washipj01
67,Jaden Ivey,21,DET,SG,77,61,2217,.429,13.8,.621,.222,.249,.118,.032,.379,.485,.657,.413,.339,.387,.336,.423,.895,.015,14,.225,.337,6,0,,iveyja01
68,Ayo Dosunmu,24,CHI,SG,76,37,2212,.501,13.0,.590,.334,.164,.050,.042,.410,.568,.654,.466,.361,.533,.403,.548,.891,.019,13,.485,.385,1,0,,dosunay01
69,Zion Williamson,23,NOP,PF,70,70,2207,.570,4.0,.984,.547,.404,.030,.003,.016,.574,.717,.396,.394,.333,.333,.474,.833,.080,78,.111,1.000,0,0,,willizi01
70,Mike Conley,36,MIN,PG,76,76,2193,.457,18.8,.371,.084,.161,.090,.036,.629,.481,.648,.490,.362,.348,.442,.461,.804,.000,0,.225,.484,0,0,,conlemi01
71,Jeremy Sochan,20,SAS,PF,74,73,2193,.438,11.0,.707,.332,.256,.084,.035,.293,.492,.659,.362,.292,.333,.308,.596,.986,.098,68,.317,.319,4,0,,sochaje01
72,Buddy Hield,31,2TM,SF,84,42,2160,.436,19.1,.332,.161,.098,.031,.042,.668,.539,.657,.446,.346,.444,.386,.671,.918,.008,6,.178,.436,0,0,,hieldbu01
72,Buddy Hield,31,IND,SF,52,28,1336,.443,19.4,.309,.164,.097,.017,.031,.691,.575,.635,.540,.333,.500,.384,.717,.912,.012,5,.162,.379,0,0,,hieldbu01
72,Buddy Hield,31,PHI,SG,32,14,824,.426,18.9,.366,.156,.099,.051,.060,.634,.492,.692,.303,.353,.400,.389,.600,.927,.003,1,.204,.512,0,0,,hieldbu01
73,CJ McCollum,32,NOP,PG,66,66,2159,.459,17.5,.472,.107,.186,.121,.058,.528,.492,.584,.464,.477,.443,.429,.392,.741,.005,5,.120,.448,0,0,,mccolcj01
