,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
321,Dalen Terry,21,CHI,SG,59,2,681,.439,13.2,.529,.357,.153,.019,.000,.471,.627,.679,.583,.000,,.230,.462,.941,.115,16,.446,.333,1,0,,terryda01
322,Gary Payton II,31,GSW,SG,44,0,680,.563,9.4,.699,.388,.306,.005,.000,.301,.648,.718,.571,.000,,.364,.819,1.000,.126,20,.636,.343,0,0,,paytoga02
323,Mason Plumlee,33,LAC,C,46,11,674,.569,3.8,.961,.562,.379,.020,.000,.039,.592,.698,.466,.000,,.000,.736,,.268,38,.667,.000,0,0,,plumlma01
324,Dāvis Bertāns,31,2TM,PF,43,1,674,.393,23.8,.145,.064,.038,.004,.038,.855,.471,.600,.444,.000,.333,.380,.938,.961,.017,3,.225,.333,1,0,,bertada01
324,Dāvis Bertāns,31,OKC,PF,15,0,91,.385,23.8,.077,.038,.000,.038,.000,.923,.000,.000,,.000,,.417,,.900,.000,0,.375,.333,0,0,,bertada01
324,Dāvis Bertāns,31,CHO,PF,28,1,583,.394,23.7,.154,.067,.043,.000,.043,.846,.500,.643,.444,,.333,.375,.938,.970,.019,3,.205,.333,1,0,,bertada01
325,Keita Bates-Diop,28,2TM,SF,53,8,665,.434,11.7,.584,.343,.181,.060,.000,.416,.526,.632,.333,.500,,.304,.627,.952,.096,15,.623,.326,0,0,,bateske01
325,Keita Bates-Diop,28,PHO,SF,39,8,597,.427,12.4,.573,.340,.173,.060,.000,.427,.512,.608,.346,.444,,.313,.614,.950,.100,14,.656,.333,0,0,,bateske01
325,Keita Bates-Diop,28,BRK,SF,14,0,68,.500,11.0,.688,.375,.250,.063,.000,.313,.636,.833,.250,1.000,,.200,.714,1.000,.063,1,.200,.000,0,0,,bateske01
326,Jalen Wilson,23,BRK,PF,43,3,664,.425,14.0,.587,.229,.251,.084,.022,.413,.495,.683,.356,.400,.500,.324,.615,1.000,.000,0,.392,.379,2,0,,wilsoja03
327,Craig Porter Jr.,23,CLE,PG,51,6,649,.509,10.2,.851,.320,.241,.193,.096,.149,.536,.644,.473,.455,.500,.353,.385,.833,.044,9,.176,.167,1,0,,portecr01
328,Rayan Rupert,19,POR,SG,39,12,633,.335,15.2,.516,.143,.273,.093,.006,.484,.313,.478,.295,.133,.000,.359,.538,.857,.012,2,.346,.370,0,0,,ruperra01
329,Oshae Brissett,25,BOS,SF,55,1,630,.444,11.4,.641,.340,.261,.013,.026,.359,.541,.673,.400,.500,.250,.273,.660,1.000,.144,20,.436,.333,0,0,,brissos01
330,Danilo Gallinari,35,3TM,SF,49,0,630,.437,17.2,.511,.142,.116,.153,.100,.489,.546,.852,.409,.517,.316,.323,.528,.867,.053,8,.097,.556,0,0,,gallida01
330,Danilo Gallinari,35,WAS,PF,26,0,385,.435,18.3,.511,.122,.115,.153,.122,.489,.552,.875,.400,.550,.375,.313,.486,.850,.046,5,.031,.500,0,0,,gallida01
330,Danilo Gallinari,35,DET,SF,6,0,90,.545,17.0,.455,.227,.045,.136,.045,.545,.500,.600,1.000,.333,.000,.583,.800,.857,.045,0,.417,.600,0,0,,gallida01
330,Danilo Gallinari,35,MIL,SF,17,0,155,.378,16.4,.541,.162,.162,.162,.054,.459,.550,1.000,.333,.500,.000,.176,.545,1.000,.081,3,.118,.500,0,0,,gallida01
331,Jordan McLaughlin,27,MIN,PG,56,0,626,.483,17.0,.386,.214,.117,.028,.028,.614,.500,.613,.353,.000,.750,.472,.643,.976,.000,0,.494,.432,1,1,,mclaujo01
332,Seth Curry,33,2TM,SG,44,4,616,.392,19.5,.471,.059,.103,.074,.235,.529,.438,.833,.524,.133,.396,.352,.500,.868,.000,0,.324,.457,1,0,,curryse01
332,Seth Curry,33,DAL,SG,36,3,457,.372,19.9,.448,.062,.076,.069,.241,.552,.385,.778,.455,.000,.371,.363,.480,.862,.000,0,.350,.429,0,0,,curryse01
332,Seth Curry,33,CHO,SG,8,1,159,.441,19.1,.525,.051,.169,.085,.220,.475,.548,1.000,.600,.400,.462,.321,.529,.889,.000,0,.250,.571,1,0,,curryse01
333,A.J. Green,24,MIL,SG,56,0,614,.423,24.1,.138,.026,.020,.031,.061,.862,.519,1.000,.250,.333,.500,.408,.857,.942,.000,0,.225,.447,0,0,,greenaj01
334,Johnny Davis,21,WAS,SG,50,6,613,.403,11.0,.740,.292,.273,.130,.045,.260,.421,.644,.333,.250,.000,.350,.604,1.000,.045,7,.450,.389,1,0,,davisjo06
335,MarJon Beauchamp,23,MIL,SF,48,1,608,.488,14.8,.548,.277,.127,.054,.090,.452,.560,.630,.476,.556,.467,.400,.588,.967,.096,12,.387,.448,0,0,,beaucma01
336,Marcus Smart,29,MEM,PG,20,20,605,.430,18.1,.435,.105,.177,.118,.034,.565,.583,.680,.548,.571,.500,.313,.250,.905,.000,0,.209,.357,2,0,,smartma01
337,Mike Muscala,32,3TM,C,53,6,600,.359,17.9,.385,.167,.103,.058,.058,.615,.467,.615,.375,.333,.333,.292,.643,1.000,.032,4,.240,.391,0,0,,muscami01
337,Mike Muscala,32,WAS,C,24,2,338,.367,17.5,.433,.178,.100,.089,.067,.567,.487,.625,.333,.375,.500,.275,.737,1.000,.022,2,.255,.231,0,0,,muscami01
337,Mike Muscala,32,DET,C,13,4,171,.341,21.3,.227,.068,.114,.023,.023,.773,.200,.333,.200,.000,.000,.382,.000,1.000,.023,0,.235,.750,0,0,,muscami01
337,Mike Muscala,32,OKC,C,16,0,91,.364,15.0,.500,.318,.091,.000,.091,.500,.636,.714,1.000,,.000,.091,.571,1.000,.091,2,.182,.000,0,0,,muscami01
338,Jericho Sims,25,NYK,C,45,11,585,.691,2.1,1.000,.800,.182,.018,.000,.000,.691,.795,.300,.000,,,.632,,.582,26,,,0,0,,simsje01
339,Brice Sensabaugh,20,UTA,SF,32,11,584,.390,17.3,.472,.041,.248,.138,.046,.528,.495,.667,.463,.567,.300,.296,.510,.794,.009,2,.296,.353,0,0,,sensabr01
340,Jarred Vanderbilt,24,LAL,PF,29,6,581,.518,8.1,.763,.474,.272,.018,.000,.237,.586,.685,.452,.000,,.296,.706,1.000,.193,21,.704,.316,1,0,,vandeja01
341,Shake Milton,27,3TM,SG,48,0,581,.405,12.6,.672,.215,.226,.205,.026,.328,.466,.690,.295,.400,.600,.281,.639,.944,.000,0,.391,.400,1,0,,miltosh01
341,Shake Milton,27,MIN,SG,38,0,491,.400,13.1,.669,.206,.244,.206,.013,.331,.467,.667,.333,.394,1.000,.264,.600,.929,.000,0,.396,.429,1,0,,miltosh01
341,Shake Milton,27,DET,SG,4,0,63,.423,14.0,.654,.231,.115,.231,.077,.346,.471,.667,.000,.500,.500,.333,.750,1.000,.000,0,.444,.250,0,0,,miltosh01
341,Shake Milton,27,NYK,SG,6,0,27,.444,10.7,.778,.333,.222,.111,.111,.222,.429,1.000,.000,.000,.000,.500,1.000,1.000,.000,0,.000,,0,0,,miltosh01
342,Evan Fournier,31,2TM,SG,32,0,580,.357,20.0,.412,.072,.158,.104,.077,.588,.505,.563,.486,.652,.294,.254,.609,.848,.000,0,.300,.231,0,0,,fournev01
342,Evan Fournier,31,NYK,SG,3,0,39,.200,21.5,.250,.050,.050,.100,.050,.750,.400,1.000,.000,.500,.000,.133,.500,1.000,.000,0,.267,.500,0,0,,fournev01
342,Evan Fournier,31,DET,SG,29,0,541,.373,18.6,.428,.075,.169,.104,.080,.572,.512,.533,.500,.667,.313,.270,.614,.839,.000,0,.304,.200,0,0,,fournev01
343,Zeke Nnaji,23,DEN,PF,58,0,576,.463,6.1,.846,.597,.215,.027,.007,.154,.500,.584,.313,.250,.000,.261,.619,1.000,.181,24,.391,.222,0,0,,nnajize01
344,Trey Jemison,24,2TM,C,25,14,573,.551,4.1,1.000,.588,.279,.118,.015,.000,.551,.663,.368,.500,.000,,.560,,.162,18,,,0,0,,jemistr01
344,Trey Jemison,24,WAS,C,2,0,1,,,,,,,,,,,,,,,,,,0,,,0,0,,jemistr01
344,Trey Jemison,24,MEM,C,23,14,572,.551,4.1,1.000,.588,.279,.118,.015,.000,.551,.663,.368,.500,.000,,.560,,.162,18,,,0,0,,jemistr01
345,Andre Jackson Jr.,22,MIL,SG,57,8,572,.500,13.8,.540,.270,.150,.100,.020,.460,.611,.741,.267,.700,1.000,.370,.515,1.000,.160,16,.630,.345,0,0,,jacksan01
346,Jared Butler,23,WAS,SG,40,0,566,.488,13.9,.612,.214,.328,.050,.020,.388,.602,.860,.424,.700,.500,.308,.365,.667,.010,2,.154,.500,3,0,,butleja02
347,Kevin Knox,24,DET,SF,31,11,560,.462,15.6,.495,.188,.194,.081,.032,.505,.598,.686,.583,.600,.167,.330,.782,.968,.124,20,.372,.343,0,0,,knoxke01
348,Lamar Stevens,26,2TM,PF,38,3,559,.450,9.8,.808,.308,.242,.188,.071,.192,.485,.622,.414,.400,.353,.304,.543,1.000,.100,21,.565,.231,1,0,,stevela01
348,Lamar Stevens,26,BOS,PF,19,1,122,.467,8.7,.822,.444,.222,.089,.067,.178,.486,.750,.100,.000,.667,.375,.667,1.000,.178,7,.750,.333,0,0,,stevela01
348,Lamar Stevens,26,MEM,PF,19,2,437,.446,10.9,.805,.277,.246,.210,.072,.195,.484,.574,.479,.439,.286,.289,.513,1.000,.082,14,.526,.200,1,0,,stevela01
349,Richaun Holmes,30,2TM,C,40,10,555,.558,3.7,.980,.578,.361,.041,.000,.020,.563,.694,.396,.167,,.333,.716,1.000,.204,28,.667,.500,0,0,,holmeri01
349,Richaun Holmes,30,DAL,C,23,2,237,.559,3.1,1.000,.678,.305,.017,.000,.000,.559,.675,.333,.000,,,.606,,.169,10,,,0,0,,holmeri01
349,Richaun Holmes,30,WAS,PF,17,8,318,.557,4.4,.966,.511,.398,.057,.000,.034,.565,.711,.429,.200,,.333,.792,1.000,.227,18,.667,.500,0,0,,holmeri01
350,Tristan Thompson,32,CLE,C,49,0,549,.608,3.4,.992,.658,.300,.033,.000,.008,.613,.684,.472,.500,,.000,.548,,.200,20,.000,,1,0,,thomptr01
351,Julian Strawther,21,DEN,SF,50,0,545,.369,18.6,.378,.131,.144,.086,.018,.622,.488,.621,.469,.368,.250,.297,.659,.951,.009,2,.116,.375,0,0,,strawju01
352,Omer Yurtseven,25,UTA,C,48,12,545,.538,7.4,.870,.332,.467,.049,.022,.130,.588,.738,.500,.444,.500,.208,.660,1.000,.185,29,.458,.273,0,0,,yurtsom01
353,Vit Krejci,23,ATL,PG,22,14,541,.490,18.8,.346,.144,.115,.067,.019,.654,.639,.667,.583,.714,.500,.412,.696,.929,.038,4,.279,.368,0,0,,krejcvi01
354,Bones Hyland,23,LAC,PG,37,5,540,.386,17.5,.462,.135,.203,.084,.040,.538,.457,.647,.412,.333,.300,.326,.302,.500,.008,2,.126,.353,1,0,,hylanbo01
355,Jalen McDaniels,26,TOR,SF,50,1,538,.344,12.9,.624,.201,.339,.063,.021,.376,.449,.553,.453,.250,.000,.169,.679,.917,.042,7,.296,.286,0,0,,mcdanja01
356,Scotty Pippen Jr.,23,MEM,PG,21,16,527,.493,12.6,.645,.320,.182,.118,.025,.355,.534,.646,.432,.417,.400,.417,.414,.833,.025,4,.097,.571,0,0,,pippesc02
357,Sasha Vezenkov,28,SAC,PF,42,0,511,.440,17.7,.372,.199,.141,.021,.010,.628,.549,.763,.333,.000,.500,.375,.795,.978,.005,1,.308,.432,1,0,,vezenal01
358,Danuel House Jr.,30,PHI,SF,34,4,509,.448,14.5,.524,.343,.124,.019,.038,.476,.582,.694,.308,1.000,.250,.300,.719,.933,.038,4,.480,.375,2,0,,houseda01
359,Mark Williams,22,CHO,C,19,19,508,.649,2.6,1.000,.742,.245,.013,.000,.000,.649,.741,.378,.500,,,.633,,.331,47,,,0,0,,willima07
360,Jaden Springer,21,2TM,SG,49,2,507,.399,12.5,.676,.284,.243,.115,.034,.324,.490,.690,.306,.412,.400,.208,.429,.900,.054,8,.438,.238,0,0,,sprinja01
360,Jaden Springer,21,PHI,SG,32,1,377,.390,12.0,.686,.314,.220,.110,.042,.314,.469,.649,.269,.385,.400,.216,.474,.875,.059,7,.486,.278,0,0,,sprinja01
360,Jaden Springer,21,BOS,SG,17,1,130,.433,13.0,.633,.167,.333,.133,.000,.367,.579,1.000,.400,.500,,.182,.273,1.000,.033,1,.273,.000,0,0,,sprinja01
361,Patrick Baldwin Jr.,21,WAS,SF,38,7,493,.381,18.0,.374,.219,.097,.026,.032,.626,.483,.676,.267,.250,.000,.320,.714,1.000,.058,9,.165,.375,0,0,,baldwpa01
362,Robert Covington,33,2TM,PF,29,6,488,.439,19.0,.429,.245,.143,.031,.010,.571,.571,.625,.571,.333,.000,.339,.750,1.000,.031,3,.268,.467,0,0,,covinro01
362,Robert Covington,33,LAC,PF,3,3,69,.333,22.2,.111,.111,.000,.000,.000,.889,1.000,1.000,,,,.250,1.000,1.000,.111,1,.375,.333,0,0,,covinro01
362,Robert Covington,33,PHI,SF,26,3,419,.449,15.8,.461,.258,.157,.034,.011,.539,.561,.609,.571,.333,.000,.354,.739,1.000,.022,2,.250,.500,0,0,,covinro01
363,P.J. Tucker,38,2TM,PF,31,10,486,.360,20.5,.300,.140,.100,.020,.040,.700,.333,.571,.000,.000,.500,.371,.600,1.000,.000,0,.971,.382,0,0,,tuckepj01
363,P.J. Tucker,38,PHI,PF,3,3,66,.400,23.5,.000,.000,.000,.000,.000,1.000,,,,,,.400,,1.000,.000,0,1.000,.400,0,0,,tuckepj01
363,P.J. Tucker,38,LAC,PF,28,7,420,.356,17.6,.333,.156,.111,.022,.044,.667,.333,.571,.000,.000,.500,.367,.600,1.000,.000,0,.967,.379,0,0,,tuckepj01
364,Tari Eason,22,HOU,PF,22,0,480,.466,9.9,.735,.434,.185,.069,.048,.265,.504,.561,.371,.462,.556,.360,.471,1.000,.122,20,.300,.267,0,0,,easonta01
365,Monte Morris,28,2TM,PG,33,0,476,.405,17.5,.542,.111,.098,.203,.131,.458,.422,.588,.200,.419,.450,.386,.314,.926,.000,0,.300,.476,2,0,,morrimo01
365,Monte Morris,28,DET,PG,6,0,68,.364,17.2,.667,.152,.182,.182,.152,.333,.455,.400,.500,.667,.200,.182,.300,.500,.000,0,.273,.000,2,0,,morrimo01
365,Monte Morris,28,MIN,PG,27,0,408,.417,17.8,.508,.100,.075,.208,.125,.492,.410,.667,.000,.360,.533,.424,.320,.960,.000,0,.305,.556,0,0,,morrimo01
366,Bol Bol,24,PHO,PF,43,0,469,.616,13.4,.656,.185,.272,.146,.053,.344,.717,.929,.683,.591,.500,.423,.789,1.000,.106,15,.596,.419,0,0,,bolbo01
367,Isaiah Livers,25,DET,PF,23,6,469,.345,19.2,.336,.155,.086,.017,.078,.664,.462,.667,.300,.000,.333,.286,.778,1.000,.034,4,.364,.286,1,0,,liveris01
368,Anthony Gill,31,WAS,PF,50,3,466,.469,9.5,.744,.356,.338,.044,.006,.256,.546,.667,.426,.429,1.000,.244,.692,1.000,.038,5,.293,.083,0,0,,gillan01
369,Yuta Watanabe,29,2TM,SF,34,0,464,.353,18.7,.267,.095,.103,.043,.026,.733,.516,.818,.333,.600,.000,.294,.563,1.000,.043,5,.412,.286,0,0,,watanyu01
369,Yuta Watanabe,29,PHO,SF,29,0,382,.361,20.7,.227,.093,.082,.031,.021,.773,.500,.778,.250,.667,.000,.320,.545,1.000,.031,3,.413,.323,0,0,,watanyu01
369,Yuta Watanabe,29,MEM,SF,5,0,82,.316,16.6,.474,.105,.211,.105,.053,.526,.556,1.000,.500,.500,.000,.100,.600,1.000,.105,2,.400,.000,0,0,,watanyu01
370,Nassir Little,23,PHO,SF,45,2,458,.460,16.4,.435,.210,.161,.032,.032,.565,.667,.769,.600,.250,.750,.300,.722,1.000,.097,12,.357,.320,0,0,,littlna01
371,Sandro Mamukelashvili,24,SAS,C,46,5,451,.471,13.4,.587,.323,.213,.045,.006,.413,.593,.660,.515,.429,1.000,.297,.611,1.000,.077,10,.297,.263,3,0,,mamuksa01
372,Alex Len,30,SAC,C,48,0,444,.617,4.9,.963,.506,.370,.062,.025,.037,.641,.805,.433,.400,1.000,.000,.720,,.321,20,.333,.000,0,0,,lenal01
373,Thomas Bryant,26,MIA,C,38,4,441,.577,7.5,.852,.430,.315,.060,.047,.148,.646,.766,.596,.444,.143,.182,.695,1.000,.248,34,.273,.333,0,0,,bryanth01
374,Thaddeus Young,35,2TM,PF,33,6,439,.602,4.6,.935,.528,.333,.065,.009,.065,.634,.667,.611,.429,1.000,.143,.734,1.000,.046,5,.571,.250,0,0,,youngth01
374,Thaddeus Young,35,TOR,PF,23,6,350,.621,4.9,.931,.517,.333,.069,.011,.069,.654,.689,.621,.500,1.000,.167,.755,1.000,.057,5,.500,.333,0,0,,youngth01
374,Thaddeus Young,35,PHO,PF,10,0,89,.524,4.2,.952,.571,.333,.048,.000,.048,.550,.583,.571,.000,,.000,.636,,.000,0,1.000,.000,0,0,,youngth01
375,Skylar Mays,26,2TM,SG,38,5,433,.396,12.4,.660,.201,.264,.151,.044,.340,.448,.406,.476,.375,.714,.296,.277,.875,.038,4,.148,.250,0,0,,mayssk01
375,Skylar Mays,26,POR,PG,21,5,356,.384,13.7,.645,.203,.246,.152,.043,.355,.438,.393,.441,.429,.667,.286,.179,.857,.029,2,.122,.167,0,0,,mayssk01
375,Skylar Mays,26,LAL,SG,17,0,77,.476,11.2,.762,.190,.381,.143,.048,.238,.500,.500,.625,.000,1.000,.400,.750,1.000,.095,2,.400,.500,0,0,,mayssk01
376,Chuma Okeke,25,ORL,SF,47,8,432,.357,20.2,.268,.107,.116,.018,.027,.732,.567,.917,.385,.000,.333,.280,.765,.957,.045,4,.293,.375,1,0,,okekech01
377,Dominick Barlow,20,SAS,PF,33,1,420,.496,7.4,.920,.398,.257,.221,.044,.080,.510,.578,.483,.480,.200,.333,.698,1.000,.088,9,.889,.375,0,0,,barlodo01
378,Reggie Bullock,32,HOU,SF,44,0,417,.415,22.1,.183,.049,.037,.049,.049,.817,.467,1.000,.333,.250,.250,.403,1.000,.963,.000,0,.433,.552,0,0,,bullore01
379,Patty Mills,35,2TM,PG,32,5,415,.351,20.2,.336,.046,.122,.069,.099,.664,.500,.833,.313,.556,.538,.276,.545,.958,.000,0,.276,.375,0,0,,millspa02
379,Patty Mills,35,ATL,PG,19,0,202,.373,20.4,.333,.039,.118,.078,.098,.667,.353,.500,.167,.500,.400,.382,.667,1.000,.000,0,.412,.500,0,0,,millspa02
379,Patty Mills,35,MIA,PG,13,5,213,.338,20.0,.338,.050,.125,.063,.100,.663,.593,1.000,.400,.600,.625,.208,.500,.909,.000,0,.189,.200,0,0,,millspa02
380,Trent Forrest,25,ATL,SG,38,0,414,.378,8.4,.889,.244,.467,.178,.000,.111,.400,.591,.238,.563,,.200,.281,1.000,.011,1,.400,.000,0,0,,forretr01
381,Svi Mykhailiuk,26,BOS,SF,41,2,413,.416,21.9,.212,.109,.036,.051,.015,.788,.517,.667,.800,.143,.000,.389,.733,.929,.036,3,.278,.533,1,0,,mykhasv01
382,Wesley Matthews,37,ATL,SG,36,3,413,.351,19.7,.289,.113,.082,.082,.010,.711,.357,.455,.375,.250,.000,.348,.900,.958,.000,0,.391,.444,0,0,,matthwe02
383,Aleksej Pokusevski,22,2TM,PF,28,0,405,.405,16.8,.545,.231,.207,.033,.074,.455,.470,.786,.280,.500,.000,.327,.774,1.000,.050,6,.291,.188,0,0,,pokusal01
383,Aleksej Pokusevski,22,OKC,PF,10,0,60,.250,19.3,.313,.063,.188,.000,.063,.688,.400,1.000,.333,,.000,.182,.500,1.000,.000,0,.455,.000,0,0,,pokusal01
383,Aleksej Pokusevski,22,CHO,PF,18,0,345,.429,14.3,.581,.257,.210,.038,.076,.419,.475,.778,.273,.500,.000,.364,.793,1.000,.057,6,.250,.273,0,0,,pokusal01
384,Luka Šamanić,24,UTA,PF,43,7,404,.380,12.5,.595,.215,.373,.006,.000,.405,.500,.735,.356,1.000,,.203,.681,1.000,.063,9,.359,.261,0,0,,samanlu01
385,Javon Freeman-Liberty,24,TOR,PG,22,6,403,.444,12.2,.661,.306,.234,.089,.032,.339,.549,.579,.448,.727,.500,.238,.467,1.000,.032,3,.262,.364,0,0,,freemja01
386,Derrick Rose,35,MEM,PG,24,7,399,.461,11.6,.752,.279,.267,.127,.079,.248,.492,.652,.318,.333,.769,.366,.426,.867,.000,0,.341,.500,0,0,,rosede01
387,DeAndre Jordan,35,DEN,C,36,2,396,.624,2.0,1.000,.828,.161,.011,.000,.000,.624,.675,.400,.000,,,.724,,.441,37,,,0,0,,jordade01
388,Kobe Brown,24,LAC,PF,44,0,394,.411,15.5,.467,.289,.111,.056,.011,.533,.548,.654,.400,.200,1.000,.292,.652,1.000,.078,7,.292,.214,0,0,,brownko01
389,Lester Quiñones,23,GSW,SG,37,0,394,.397,19.1,.376,.113,.163,.099,.000,.624,.453,.625,.391,.357,,.364,.458,.938,.021,3,.182,.500,2,1,,quinole01
390,Eugene Omoruyi,26,WAS,SF,43,0,393,.485,9.9,.725,.419,.269,.018,.018,.275,.562,.671,.422,.333,.333,.283,.618,.923,.066,11,.174,.000,0,0,,omorueu01
391,Matt Ryan,26,NOP,SF,28,1,390,.434,22.6,.195,.027,.035,.080,.053,.805,.364,.667,.500,.222,.333,.451,1.000,.927,.000,0,.319,.552,0,0,,ryanma01
392,Justin Minaya,24,POR,SF,34,1,381,.297,17.5,.338,.243,.081,.014,.000,.662,.400,.556,.000,.000,,.245,.400,.917,.041,2,.245,.333,0,0,,minayju01
393,Johnny Juzang,22,UTA,SG,20,5,372,.464,19.3,.300,.027,.236,.018,.018,.700,.576,1.000,.538,.500,.500,.416,.789,1.000,.009,1,.442,.382,0,0,,juzanjo01
394,Noah Clowney,19,BRK,PF,23,4,370,.538,10.5,.645,.419,.215,.011,.000,.355,.633,.795,.300,1.000,,.364,.763,1.000,.118,11,.606,.450,0,0,,clownno01
395,Tosan Evbuomwan,22,2TM,SF,17,8,367,.507,13.2,.549,.254,.296,.000,.000,.451,.615,.722,.524,,,.375,.833,1.000,.014,1,.719,.435,0,0,,evbuoto01
395,Tosan Evbuomwan,22,MEM,SF,4,0,74,.267,14.2,.467,.067,.400,.000,.000,.533,.286,1.000,.167,,,.250,1.000,1.000,.000,0,.750,.333,0,0,,evbuoto01
395,Tosan Evbuomwan,22,DET,SF,13,8,293,.571,12.2,.571,.304,.268,.000,.000,.429,.688,.706,.667,,,.417,.818,1.000,.018,1,.708,.471,0,0,,evbuoto01
396,Ousmane Dieng,20,OKC,PF,33,0,365,.422,17.5,.397,.190,.129,.043,.034,.603,.609,.818,.333,.400,.750,.300,.857,1.000,.112,13,.314,.500,0,0,,diengou01
397,Jontay Porter,24,TOR,PF,26,5,360,.385,16.8,.423,.231,.096,.077,.019,.577,.455,.542,.600,.000,.500,.333,.650,1.000,.038,2,.083,.600,0,0,,portejo01
398,Ben Simmons,27,BRK,PG,15,12,359,.581,3.2,1.000,.649,.297,.054,.000,.000,.581,.750,.273,.250,,,.581,,.149,11,,,0,0,,simmobe01
399,Brandon Boston Jr.,22,LAC,SF,32,0,345,.404,13.9,.677,.205,.168,.211,.093,.323,.468,.636,.296,.500,.333,.269,.588,.786,.068,11,.250,.385,0,0,,bostobr01
400,Jarace Walker,20,IND,PF,33,0,340,.409,17.4,.500,.164,.136,.082,.118,.500,.418,.500,.267,.556,.385,.400,.565,.818,.036,4,.182,.300,0,0,,walkeja02
401,JaVale McGee,36,SAC,C,46,0,339,.598,4.9,.947,.492,.417,.030,.008,.053,.624,.769,.509,.000,.000,.143,.769,1.000,.303,35,.000,,0,0,,mcgeeja01
402,Olivier-Maxence Prosper,21,DAL,PF,40,1,336,.385,12.8,.567,.356,.135,.038,.038,.433,.458,.595,.214,.000,.500,.289,.704,1.000,.125,13,.533,.250,0,0,,prospol01
403,Jeremiah Robinson-Earl,23,NOP,PF,39,1,334,.474,13.0,.589,.284,.211,.063,.032,.411,.571,.630,.500,.833,.000,.333,.750,1.000,.084,7,.513,.400,0,0,,robinje02
404,Neemias Queta,24,BOS,C,28,0,333,.644,3.2,1.000,.567,.375,.048,.010,.000,.644,.780,.462,.400,1.000,,.701,,.288,28,,,0,0,,quetane01
405,Julian Phillips,20,CHI,SF,40,0,323,.416,13.6,.506,.390,.078,.013,.026,.494,.513,.467,.667,1.000,.500,.316,.750,1.000,.091,4,.579,.455,0,0,,phillju01
406,Cody Zeller,31,NOP,C,43,0,320,.419,3.8,.952,.661,.258,.016,.016,.048,.424,.512,.250,.000,.000,.333,.560,1.000,.145,9,.000,,0,0,,zelleco01
407,Ja Morant,24,MEM,PG,9,9,318,.471,11.9,.700,.288,.288,.088,.035,.300,.555,.714,.490,.267,.500,.275,.288,.500,.047,6,.098,.200,0,0,,moranja01
408,Ashton Hagans,24,POR,PG,19,1,316,.408,11.8,.648,.254,.338,.056,.000,.352,.457,.778,.250,.250,,.320,.429,1.000,.000,0,.120,.667,0,0,,haganas01
409,Devonte' Graham,28,SAS,PG,23,0,313,.352,21.9,.231,.083,.037,.074,.037,.769,.520,.667,.500,.375,.500,.301,.385,.720,.000,0,.145,.250,1,0,,grahade01
410,A.J. Lawson,23,DAL,SG,42,0,311,.446,11.8,.587,.364,.198,.008,.017,.413,.577,.773,.208,.000,1.000,.260,.610,1.000,.107,12,.640,.250,0,0,,lawsoaj01
411,Nathan Mensah,25,CHO,C,25,0,307,.429,4.0,1.000,.393,.607,.000,.000,.000,.429,.545,.353,,,,.667,,.107,3,,,0,0,,mensana01
412,Stanley Umude,24,DET,SG,24,2,307,.440,18.3,.369,.083,.202,.060,.024,.631,.419,.714,.412,.200,.000,.453,.846,1.000,.024,2,.547,.483,0,0,,umudest01
413,Orlando Robinson,23,MIA,C,36,7,304,.500,9.1,.792,.361,.347,.056,.028,.208,.491,.692,.400,.000,.000,.533,.607,1.000,.097,5,.200,1.000,0,0,,robinor01
414,Furkan Korkmaz,26,PHI,SG,35,0,300,.395,17.4,.474,.184,.171,.053,.066,.526,.444,.643,.462,.000,.200,.350,.750,.714,.026,2,.100,.500,0,0,,korkmfu01
415,Cory Joseph,32,GSW,PG,26,0,296,.359,20.4,.344,.031,.156,.078,.078,.656,.455,.000,.700,.400,.200,.310,.600,.923,.000,0,.238,.400,1,0,,josepco01
416,Ricky Council IV,22,PHI,SG,32,0,289,.482,10.6,.714,.321,.330,.036,.027,.286,.525,.639,.405,.500,.667,.375,.667,1.000,.080,8,.313,.400,0,0,,councri01
417,Garrett Temple,37,TOR,SG,27,2,289,.372,14.5,.487,.308,.128,.013,.038,.513,.447,.625,.200,.000,.000,.300,.471,1.000,.026,2,.525,.381,0,0,,templga01
418,Leaky Black,24,CHO,SF,26,3,284,.481,12.4,.615,.308,.212,.038,.058,.385,.500,.750,.182,.500,.333,.450,.688,1.000,.077,4,.450,.556,0,0,,blackle01
419,Lindy Waters III,26,OKC,SG,38,0,280,.471,22.4,.183,.067,.038,.010,.067,.817,.632,.714,.750,1.000,.429,.435,.667,.919,.010,1,.271,.522,0,0,,waterli01
420,Kessler Edwards,23,SAC,SF,54,0,275,.415,18.3,.366,.171,.122,.012,.061,.634,.467,.643,.300,.000,.400,.385,.643,1.000,.037,2,.423,.409,0,0,,edwarke02
